prompt:test_casetest_case_id;ticket_title;ticket_description;category;service;issue_type;difficulty_level;gold_kb_id;gold_kb_fulltext;has_golden_solution;Stichprobe;KB-Validierung;custom_solution ;Column1;_1
TC-P-14;Linux-NAS-Clients zeigen keine Verzeichnisinhalte;Während Windows-Clients alle Freigaben auf dem zentralen NAS sehen, wird das Verzeichnis 'Shared-Docs' auf allen Linux-basierten Forschungs-Workstations als leer angezeigt.;Storage;NAS;ClientBug;high;KB-18D584BC;"KB-ID: KB-18D584BC
Titel: NAS Client Bug: Inkonsistente Daten auf dem NAS
Kategorie/Service: Storage / NAS
Issue-Typ: ClientBug
Problem: Der Client für das NAS-System verursacht inkonsistente Daten auf dem NAS.
Symptome: Fehlerhafte Daten auf dem NAS | Inkonsistente Daten im Dateisystem | Unerwartete Abstürze beim Zugriff auf NAS
Ursache: Fehlende oder fehlende Aktualisierung des Client-Tools | Fehlerhafte Konfiguration des NAS-Systems | Inkompatible Software-Kompatibilität
Lösungsschritte: Aktualisieren Sie das Client-Tool auf den neuesten Stand. | Überprüfen und korrigieren Sie die Konfiguration des NAS-Systems. | Überprüfen Sie, ob die Software-Kompatibilität mit dem NAS-System einvernehmlich ist.
Validierung: Überprüfen Sie, ob die Daten auf dem NAS konsistent sind und keine Fehlermeldungen mehr auftreten.";WAHR;x;x; ;;
TC-P-15;VPN-Client bricht Verbindung nach Reaktivierung aus Standby ab;Wenn ein Laptop aus dem Standby-Modus erwacht, stellt der VPN-Client die gesicherte Verbindung nicht automatisch wieder her und erfordert einen kompletten Neustart der Anwendung.;Software;VPN Client;ConnectivityIssue;low;KB-520B3F86;"KB-ID: KB-520B3F86
Titel: Verbindungsfehler beim VPN Client
Kategorie/Service: Software / VPN Client
Issue-Typ: ConnectivityIssue
Problem: Der VPN-Client kann nicht mit dem Server verbinden. Dies kann durch verschiedene Faktoren wie eine fehlerhafte VPN-Terminologie oder eine ungenügende Netzwerkkonfiguration verursacht werden.
Symptome: Fehlermeldung beim Starten des VPN Clients | Instabilität der Verbindung | Häufige Unterbrechung der Verbindung
Ursache: Fehlerhafte VPN-Terminologie | Ungenügend Netzwerkkonfiguration | Veraltet oder fehlerhaftes Betriebssystem
Lösungsschritte: Überprüfen Sie die aktuelle VPN-Terminologie und aktualisieren Sie sie, wenn nötig. | Überprüfen Sie die Netzwerkkonfiguration und stellen Sie sicher, dass alle Einstellungen korrekt sind. | Überprüfen Sie das Betriebssystem und aktualisieren Sie es auf den neuesten Stand, wenn nötig.
Validierung: Überprüfen Sie, ob die Verbindung stabil ist und keine Fehlermeldungen mehr auftreten.";WAHR;x;x; ;;
TC-P-16;Load-Balancer: Einseitige Lastverteilung auf Web-Node A;Nach Wartungsarbeiten leitet der Load Balancer 95% des Traffics an Node A weiter, während Node B im Leerlauf bleibt, was zu Performance-Einbußen bei Node A führt.;Network;Load Balancer;Misconfiguration;mid;KB-D62AE239;"KB-ID: KB-D62AE239
Titel: Falsche Konfiguration des Load Balancers
Kategorie/Service: Network / Load Balancer
Issue-Typ: Misconfiguration
Problem: Der Load Balancer hat eine falsche Konfiguration, was zu Ausfällen und fehlenden Verbindungen führt.
Symptome: Fehlermeldungen bei der Herstellung einer Verbindung | Unzureichende Verteilung der Last | Keine Verbindung herstellen kann | Client kann keine Verbindung aufbauen | Ausfälle beim Load Balancer
Ursache: Falsche Konfiguration des TCP-Portes in der Konfigurationsdatei | Incorrecte Konfiguration des Proxy-Servers | Falsche Konfiguration des Load Balancers bei hostname | Unrichtige Konfiguration des Load Balancers
Lösungsschritte: Korrektur des TCP-Portes in der Konfigurationsdatei. | Korrektur der Proxy-Konfiguration. | Konfigurationsdateien zurücksetzen und Load Balancer neu starten. | Konfiguration des Load Balancers korrigieren. | Überprüfen, ob die Konfiguration korrekt ist.
Validierung: Überprüfung der Konfiguration mit einem Test-Client.";WAHR;x;x; ;;
TC-P-17;AWS S3 Bucket: 'Access Denied' trotz IAM-FullAccess-Policy;Ein Administrator kann keine Objekte in einen S3-Bucket hochladen, obwohl seine IAM-Policy explizite FullAccess-Rechte gewährt. Ein Konflikt mit der Bucket-Policy wird vermutet.;Cloud;AWS S3;PermissionDenied;mid;KB-3C90D604;"KB-ID: KB-3C90D604
Titel: Zugriffsbeschränkung auf S3-Bucket: 'PermissionDenied'-Fehler beim Zugriff
Kategorie/Service: Cloud / AWS S3
Issue-Typ: PermissionDenied
Problem: Ein 'PermissionDenied'-Fehler tritt beim Zugriff auf einen S3-Bucket auf. Dies kann verschiedene Ursachen haben, wie z.B. fehlende Berechtigungen oder ein falsches IAM-Policy.
Symptome: Fehlermeldung: 'Access Denied' oder ähnliche Fehlermeldungen | Keine Möglichkeit, Dateien in S3-Liste hinzuzufügen | Benutzer kann nicht auf S3-Bucket zugreifen | API-Zugriff verweigert
Ursache: Fehlende Berechtigungen für den Benutzer | Falsches IAM-Policy | S3-Bucket ist gelocked | Berechtigungen des Benutzers sind nicht korrekt konfiguriert
Lösungsschritte: Überprüfen und aktualisieren der Berechtigungen für den Benutzer | Ändern des IAM-Policies, um die erforderlichen Zugriffsrechte zu gewähren | Überprüfen und Aktualisieren der S3-Bucket-Einstellungen, um das Locking zu entfernen | Überprüfen und korrigieren der Berechtigungen des Benutzers
Validierung: Das Problem wird überprüft, indem man die neuen Berechtigungen für den Benutzer überprüft und sicherstellt, dass das IAM-Policy korrekt konfiguriert ist.";WAHR;x;x; ;;
TC-P-18;Java-Runtime-Absturz bei paralleler Datenverarbeitung;Die firmeninterne Analyse-Software stürzt konsistent mit einem OutOfMemory-Fehler ab, sobald die Heap-Size-Grenze während der parallelen Thread-Verarbeitung erreicht wird.;Software;Java Runtime;OutOfMemory;mid;KB-33ADD6FC;"KB-ID: KB-33ADD6FC
Titel: Java Runtime Out of Memory Error
Kategorie/Service: Software / Java Runtime
Issue-Typ: OutOfMemory
Problem: Ein Java Runtime-Out-of-Memory-Erinnerung wird bei bestimmten Anwendungen und in bestimmten Umgebungen auftritt.
Symptome: Fehlermeldung: 'OutOfMemoryError' oder ähnliche Fehlermeldungen | Anwendung stürzt ab oder verlangsamt sich unerwartet | Speicherressourcen werden nicht korrekt freigesetzt | Java-Prozess wird nicht ordnungsgemäß beendet
Ursache: Fehlende oder fehlende Speicherallokation für Java-Anwendungen | Unzureichende Java-Konfiguration oder -Parameter | Verwendung von veralteter Java-Version ohne Sicherheitsupdates | Schlechte Optimierung der Anwendungscode
Lösungsschritte: Überprüfen und aktualisieren der Java-Konfiguration und -Parameter | Fehlende Speicherallokation für Java-Anwendungen ausgleichen | Verwendung von modernen Java-Versionen mit Sicherheitsupdates installieren | Anwendungscode optimieren und überprüfen
Validierung: Überprüfen, ob die Fehlermeldung nach Lösung der oben genannten Schritte verschwindet.";WAHR;x;x; ;;
TC-P-19;Scanner-Dienst nach Firmware-Update nicht erreichbar;Nach dem automatischen Firmware-Update heute Nacht lässt sich der Scanner-Dienst auf dem Druckserver nicht mehr starten. Der Fehlercode in den Logs verweist auf eine Inkompatibilität.;Hardware;Scanner;ServiceUnavailable;low;KB-B7D4BB5B;"KB-ID: KB-B7D4BB5B
Titel: Scanner-Ausfall bei Windows-Server
Kategorie/Service: Hardware / Scanner
Issue-Typ: ServiceUnavailable
Problem: Der Scanner auf Windows-Servern erleidet periodisch Ausfälle und kann nicht erreichbar gemacht werden.
Symptome: Fehlermeldungen beim Starten des Scanners | Kein Druckerzugriff möglich | Schwierigkeiten bei der Verbindung zum Scanner
Ursache: Fehlerhafte Hardware oder Software-Komponente | Veraltetes Betriebssystem oder fehlende Sicherheitspatches | Konflikte mit anderen Anwendungen oder Diensten | Hardware-Fehler oder -Feuchtigkeit
Lösungsschritte: Scanner neu starten und Konnektivität prüfen | Hardware-Test durchführen, um Fehler zu identifizieren | Sicherheitspatches auf dem Betriebssystem anwenden | Konflikte mit anderen Anwendungen oder Diensten lösen
Validierung: Das Problem wird überprüft, indem der Scanner nach einem Neu-Start erreichbar gemacht und die Konnektivität überprüft wird.";WAHR;x;x; ;;
TC-P-20;Jenkins: Pipeline-Abbruch durch ungültigen Skriptpfad;Die CI-Pipeline für das Projekt 'Mobile-App' bricht beim Build-Schritt ab, da ein erforderliches Deployment-Skript unter dem im Jenkinsfile definierten Pfad nicht gefunden wird.;DevOps;Jenkins;ClientBug;mid;KB-842D5894;"KB-ID: KB-842D5894
Titel: Jenkins-Misconfiguration: Fehler bei Protokoll-Erstellung, Pipeline-Konfiguration und Job-Skript
Kategorie/Service: DevOps / Jenkins
Issue-Typ: Misconfiguration
Problem: Ein Fehler bei der Protokoll-Erstellung in Jenkins führt zu Problemen mit der Pipeline-Konfiguration und dem Job-Skript.
Symptome: Fehler beim Erstellen von Protokollen | Pipeline fehlschlägt nach dem letzten Commit | Job-Skript ist fehlerhaft | System ist aufgrund von Überlastung instabil geworden
Ursache: Falsche Konfiguration in Jenkins | Mangelnde Überprüfung der Pipeline-Konfiguration | Unzureichende Systemressourcen | Unbekannte IP-Adressen haben versucht, sich bei der Anwendung anzumelden
Lösungsschritte: Überprüfen Sie die Jenkins-Protokoll-Einstellungen und Konfigurationen. | Überprüfen Sie die Pipeline-Konfiguration und korrigieren Sie eventuelle Fehler. | Erhöhen Sie die Systemressourcen, um Überlastungsprobleme zu vermeiden. | Überprüfen Sie den Job-Skript-Code und korrigieren Sie eventuelle Fehler.
Validierung: Überprüfen Sie, ob alle Protokolle korrekt erfasst werden und die Pipeline fehlschlägt nicht mehr nach dem letzten Commit.";WAHR;x;x; ;;
TC-P-21;SSL-Warnung in Niederlassung X durch fehlende Intermediate-Zertifikate;Mitarbeiter am Standort X erhalten bei jedem Zugriff auf das Intranet eine SSL-Warnmeldung, da das neue Intermediate-Zertifikat der Zertifizierungsstelle lokal fehlt.;Access;SSO;ConnectivityIssue;mid;KB-D4C996F8;"KB-ID: KB-D4C996F8
Titel: SSO-Authentifizierungsprobleme bei SSL-Version
Kategorie/Service: Access / SSO
Issue-Typ: AuthenticationError
Fehlercodes: ERR_SSL_VERSION
Problem: Die Authentifizierung über SSO fehlschlägt aufgrund einer unverständlichen SSL-Version.
Symptome: Fehlermeldung bei der Authentifizierung | Zugriffssperre beim SSO-Anmelden
Ursache: Unverständliche SSL-Version im SSO-Dienst | Fehlende SSL-Terminierungseinstellungen
Lösungsschritte: Aktualisiere die Authentifizierungsschlüssel im SSO-Dienst. | Überprüfe und konfiguriere die SSL-Terminierungseinstellungen.
Validierung: Überprüfe, ob die Authentifizierung erfolgreich ist und keine Fehlermeldungen mehr erscheinen.";WAHR;x;x; ;;
TC-P-22;Kubernetes: Cluster-weiter OutOfMemory-Status bei Batch-Jobs;Während der Ausführung der monatlichen Abrechnungs-Batch-Jobs laufen mehrere Pods im Cluster zeitgleich in einen OOM-Status (OutOfMemory) und werden beendet.;DevOps;Kubernetes;OutOfMemory;high;KB-5956E19C;"KB-ID: KB-5956E19C
Titel: Kubernetes-Cluster startet nicht wegen OutOfMemory
Kategorie/Service: DevOps / Kubernetes
Issue-Typ: OutOfMemory
Problem: Ein Kubernetes-Cluster kann aufgrund eines Memory Overflows nicht gestartet werden.
Symptome: Der Cluster stürzt ab während des Starts | Fehlermeldungen wie 'Out of memory' erscheinen
Ursache: Überlastung der Ressourcen im Cluster | Inadequate Speicherlimit | Unoptimierte Ressourcenzuweisung
Lösungsschritte: Erhöhen Sie das Speicherlimit des Clusters | Optimieren Sie die Ressourcenzuweisung für den Cluster | Überprüfen und korrigieren Sie die Konfiguration des Clusters
Validierung: Überprüfen Sie, ob der Cluster erfolgreich gestartet werden kann und keine Fehlermeldungen mehr erscheinen.";WAHR;x;x; ;;
TC-P-23;Browser-Darstellungsfehler nach Update der Web-App;Nach dem Rollout von Version 2.4 der CRM-Web-App zeigt der Edge-Browser nur noch eine weiße Seite an. Ein Leeren des Caches behebt das Problem temporär gemäß KB.;Software;Browser;ClientBug;low;KB-78AE164E;"KB-ID: KB-78AE164E
Titel: Browser-Sitzungsunterbrechung und Serviceunverfügbarkeit bei CRM-System und Website
Kategorie/Service: Software / Browser
Issue-Typ: ServiceUnavailable
Problem: Ein technisches Problem mit dem Browser, das zu häufigen Sitzungsabbrüchen und Serviceunverfügbarkeiten führt, insbesondere bei CRM-System und Unternehmenswebsite.
Symptome: Fehler beim Laden der Website oder CRM-System | Sitzungsabbrüche beim Browsen | Serviceunverfügbarkeit beim CRM-System oder bei bestimmten Webseiten
Ursache: Fehlende Aktualisierung des Browsers | Kompatibilitätsprobleme mit der CRM-Software | Server-Sicherheitslücken oder -fehler
Lösungsschritte: Aktualisieren Sie Ihren Browser auf den neuesten Stand. | Überprüfen und aktualisieren Sie die CRM-Software, um sicherzustellen, dass sie kompatibel mit Ihrem Browser ist. | Überprüfen Sie die Server-Sicherheitslücken oder -fehler und beheben Sie diese | Lösen Sie eventuelle Server-Probleme durch Wartung oder Neuanstart des Servers.
Validierung: Überprüfen Sie, ob das Problem wirklich gelöst ist, indem Sie die Lösungsschritte ausführen und prüfen, ob die Serviceunverfügbarkeit oder Sitzungsabbrüche verschwinden.";WAHR;x;x; ;;
TC-P-24;Conditional Access blockiert Vertriebsaußendienst in Spanien;Ein Mitarbeiter im Außeneinsatz in Spanien kann nicht auf das CRM zugreifen, da die Conditional Access Policy den Zugriff aus spanischen IP-Bereichen standardmäßig blockiert.;Access;Conditional Access;AuthenticationError;mid;KB-078087D9;"KB-ID: KB-078087D9
Titel: Authentifizierungsfehler bei Zugriff auf Conditional Access
Kategorie/Service: Access / Conditional Access
Issue-Typ: AuthenticationError
Fehlercodes: 401
Problem: Ein Fehler bei der Authentifizierung führt zu einem Zugriff auf die Bedingte Zugriffsanforderung (Conditional Access).
Symptome: Fehlermeldung: Zugriff verloren - Authentifizierung scheitert | Benutzer erhält eine 401-Antwort, obwohl seine Berechtigungen korrekt eingestellt sind
Ursache: Mangelnde Einstellung der Azure AD-Authentifizierungseinstellungen | Fehlerhafte Konfiguration der Bedingten Zugriffsanforderung (Conditional Access)
Lösungsschritte: Überprüfen Sie die Azure AD-Authentifizierungseinstellungen und stellen Sie sicher, dass der Benutzer korrekt konfiguriert ist. | Prüfen Sie die Bedingte Zugriffsanforderung (Conditional Access) auf Richtigkeit und Einstellungen.
Validierung: Überprüfen Sie, ob der Benutzer nach den Einstellungen korrekt authentifiziert wurde. Wenn das Problem weiterhin besteht, überprüfen Sie die Azure AD-Authentifizierungseinstellungen und die Bedingte Zugriffsanforderung (Conditional Access) auf Richtigkeit und Einstellungen.";WAHR;x;x; ;;
TC-P-25;Citrix: Fehlende Verbindung zum Lizenz-Server-Pool;Benutzer erhalten beim Starten ihrer virtuellen Desktops die Meldung, dass kein gültiger Lizenz-Server erreicht werden kann. Der Lizenz-Dienst am Hauptstandort scheint unresponsive.;Software;Citrix Workspace;ServiceUnavailable;mid;KB-A619FA44;"KB-ID: KB-A619FA44
Titel: Citrix Workspace ServiceUnavailable: Wiederverwendbare Lösung für häufige Probleme
Kategorie/Service: Software / Citrix Workspace
Issue-Typ: ServiceUnavailable
Fehlercodes: 503
Problem: Der Citrix Workspace-Dienst ist nicht verfügbar und zeigt eine Fehlermeldung mit dem Code 503 an.
Symptome: Fehlermeldung '503 ServiceUnavailable' erscheint beim Start des Citrix Workspaces | Zugriff auf Anwendungen unmöglich | Verbindung mit Citrix Workspace fehlschlägt | Citrix-Portal ist nicht erreichbar
Ursache: Dienstausfall oder Serverfehler | Konfigurationsprobleme oder falsche Konfiguration | Netzwerkprobleme oder Verbindungsausfall | Softwarefehler oder Bugs im Citrix-Client
Lösungsschritte: Überprüfen Sie den Status des Citrix-Dienstes und starten Sie ihn neu, wenn erforderlich. | Überprüfung der Konfiguration und Korrektur von Fehlerquellen. | Überprüfen Sie die Netzwerkverbindung und stellen Sie sicher, dass sie stabil ist. | Starten Sie den Citrix-Client neu und überprüfen Sie die Systemprotokolle.
Validierung: Überprüfen Sie, ob der Citrix-Dienst wieder verfügbar ist und ob die Fehlermeldung verschwunden ist.";WAHR;x;x; ;;
TC-P-26;Backup-Wiederherstellung: Dateisystem-Inkompatibilität bei Snapshot;Die Wiederherstellung eines Payroll-Backup-Snapshots schlägt fehl, da das Zielvolume ein Dateiformat nutzt, das mit dem ursprünglichen Snapshot-Format nicht kompatibel ist.;Backup;Snapshot Restore;Misconfiguration;high;KB-98C07CA3;"KB-ID: KB-98C07CA3
Titel: Misconfiguration bei Snapshot-Prozesskonfigurationen
Kategorie/Service: Backup / Snapshot Restore
Issue-Typ: Misconfiguration
Problem: Ein technisches Problem bei der Konfiguration des Snapshot-Restore-Service auftritt, was zu fehlschlagenden Wiederherstellungen führt.
Symptome: Fehlermeldung beim Starten des Backup-Prozesses | Wiederherstellung fehlschlägt | Snapshot-Reparatur fehlschlägt
Ursache: Konfigurationsfehler im Snapshot-Prozess | Berechtigungsprobleme beim Snapshot-Recovery-Prozess | Inkonsistente Backup-Snapshots | Unzureichender Speicherplatz für Backup-Snapshots
Lösungsschritte: Überprüfen und korrigieren der Konfiguration des Snapshot-Restore-Service | Überprüfe und korrigiere die Berechtigungen des Benutzers | Korrigieren der Snapshot-Konfiguration und erneute Durchführung des Backup-Prozesses | Erweiterung des Speicherplatzes und erneute Durchführung der Backup-Snapshot
Validierung: Überprüfen, ob die Konfiguration korrekt ist und die Berechtigungen des Benutzers gültig sind.";WAHR;x;x; ;;
TC-P-27;Monitor zeigt 'Kein Signal' trotz aktiver Grafikkarte;Der Monitor eines CAD-Arbeitsplatzes zeigt kein Bild, obwohl der PC läuft. ;Hardware;Monitor;ConnectivityIssue;low;KB-8B842A26;"KB-ID: KB-8B842A26
Titel: Monitor-Hardware-Fehler: Bildschirm schwarz bleibt nach Neustart
Kategorie/Service: Hardware / Monitor
Issue-Typ: HardwareFailure
Problem: Der Monitorbildschirm bleibt schwarz, wenn das System neu gestartet wird. Dies kann auf ein Hardwarefehler oder eine Einstellungsoption zurückzuführen sein.
Symptome: Bildschirm schwarz nach Neustart | Keine Bildschirmeigenschaften angezeigt werden | Monitorstabilität ist beeinträchtigt | Fehlermeldung auf dem Bildschirm | Sporadisches Verhalten des Bildschirms
Ursache: Hardwarefehler am Monitor | Einstellungsoptionen falsch eingestellt | Bildschirmkabel defekt oder falsch angeschlossen | Monitordefekt oder Fehlfunktion
Lösungsschritte: Überprüfen und reparieren des Bildschirmkabels | Einstellungsoptionen überprüfen und korrigieren | Bildschirm neu starten und System neu booten | Monitor neu anschließen oder ersetzen
Validierung: Überprüfen, ob der Monitorbildschirm nach dem Start neu angezeigt wird und keine Fehlermeldung auftritt.";WAHR;x;x; ;;
TC-P-28;Azure AD FaceID-Bug auf mobilen Dienstgeräten;Der Azure AD Client auf iPads fordert trotz aktivierter und korrekter FaceID-Einrichtung bei jedem App-Start zur manuellen Eingabe des Passworts auf.;Access;Azure AD;ClientBug;mid;KB-B14BEF33;"KB-ID: KB-B14BEF33
Titel: Azure AD-Klientsuche nach Misconfiguration fehlschlägt
Kategorie/Service: Access / Azure AD
Issue-Typ: ClientBug
Problem: Der Client zeigt einen Misconfiguration-Bug an, wenn er versucht, sich über das Portal zu authentifizieren.
Symptome: Fehler beim Auslösen des Azure AD Dienst-Sitzungs-Token | Benutzer von Azure AD nicht aktualisiert nach Passwortwechseln | Erkennungsprozess von Benutzerkonten in Azure AD scheitert | Azure AD-Bug bei Windows-Anmeldung | Client zeigt einen Fehler beim Auslösen des Azure AD Dienst-Sitzungs-Token
Ursache: Korrektur der Client-Benutzerdefinierten Einstellungen | Implementierung eines Workarounds für den Passwortwechsel-Bug | Stelle die Dienst-Sitzungs-URL sicher | Erkennungsprotokolle und -parameter neu konfigurieren
Lösungsschritte: Installiere den neuesten Patch des Azure AD-Clients. | Implementiere einen Workaround für den Passwortwechsel-Bug, z.B. durch die Verwendung eines Sicherheits tokens. | Stelle sicher, dass die Dienst-Sitzungs-URL korrekt eingestellt ist. | Erkennungsprotokolle und -parameter neu konfigurieren.
Validierung: Überprüfe, ob das Problem wirklich gelöst ist, indem du den Client neu startest und dich mit dem Azure AD-Konto anmeldest.";WAHR;x;x; ;;
TC-P-29;PowerShell-Skript: Authentifizierungsfehler bei Remote-Abfrage;Ein Administrations-Skript schlägt bei der Authentifizierung an entfernten Servern fehl, obwohl die verwendeten Anmeldedaten im Passwort-Manager korrekt hinterlegt sind.;Software;PowerShell;AuthenticationError;low;KB-D0026867;"KB-ID: KB-D0026867
Titel: PowerShell-Authentifizierungsfehler
Kategorie/Service: Software / PowerShell
Issue-Typ: AuthenticationError
Problem: Einige Benutzer melden sich nicht an, weil ihre Passwörter falsch sind, oder sie können sich nicht authentifizieren, wenn sie das Skript ausführen. Der Benutzer kann sich nicht bei dem Dienst anmelden, oder der Script kann nicht angemeldet werden.
Symptome: Fehlermeldungen beim Anmeldeprozess | Authentifizierungsfehler beim Ausführen von PowerShell-Befehlen | Benutzer kann sich nicht über PowerShell authentifizieren | Script kann nicht angemeldet werden, Authentifizierung fehlschlägt
Ursache: Falsche Passwörter | Authentifizierungsfehler im Credential-Speicher | Erforderliche Authentifizierungsrichtlinie nicht aktualisiert | Überprüfung der Authentifizierungsdetails fehlgeschlagen
Lösungsschritte: Überprüfen der Passwörter und Aktualisieren sie, wenn nötig. | Überprüfen der Authentifizierungsregeln und Anpassung des Credential-Speichers. | Aktualisieren der erforderlichen Authentifizierungsrichtlinie. | Überprüfen der Authentifizierungsdetails und erneuten Anmeldung, wenn nötig.
Validierung: Mit diesen Schritten kann überprüft werden, dass das Problem wirklich gelöst ist. Die Passwörter sind korrekt, die Authentifizierungsregeln sind aktualisiert und der Credential-Speicher ist ordnungsgemäß konfiguriert.";WAHR;x;x; ;;
TC-P-30;Elasticsearch: Cluster-Ausfall nach Index-Korruption;Die Suchfunktion im Dokumenten-Portal ist komplett ausgefallen, da ein korrupter Index den gesamten Elasticsearch-Dienst blockiert und Neustarts verhindert.;Database;ElasticSearch;ServiceUnavailable;high;KB-7025ED73;"KB-ID: KB-7025ED73
Titel: ElasticSearch-Dienstausfall: Serviceunverfügbarkeit mit Fehlercode 503
Kategorie/Service: Database / ElasticSearch
Issue-Typ: ServiceUnavailable
Fehlercodes: 503
Problem: Der Elasticsearch-Dienst ist nicht verfügbar und liefert einen Fehlercode 503. Dies führt zu einem Ausfall der Indizierung und kann den Zugriff auf Daten verhindern.
Symptome: Fehlermeldung: 'Service unavailable' | Datenzugriff verhindert | Indizierung nicht möglich
Ursache: Überlastung durch großen Importvorgang | Fehler beim Neustarten von ElasticSearch | Konfigurationsfehler im Elasticsearch-Dienst | Betriebssystem-Fehler oder -konflikte
Lösungsschritte: Überprüfen Sie den Status des Dienstes und starten Sie ihn neu, falls erforderlich. | Überprüfen Sie die Systemlogs für weitere Details über den Fehler. | Prüfen Sie die Konfiguration des Elasticsearch-Dienstes auf Fehler oder Unregelmäßigkeiten. | Ändern Sie das Betriebssystem oder überprüfen Sie eventuelle Konflikte mit anderen Diensten.
Validierung: Überprüfen Sie den Status des Dienstes nach dem Neustarten und bestätigen Sie, dass der Fehler gelöst ist.";WAHR;x;x; ;;
TC-N-31;Laptop-Totalschaden durch Gabelstapler-Unfall;Ein Laptop wurde im Logistikzentrum von einem Gabelstapler überrollt. Das Gehäuse ist deformiert, das Display gesplittert. Dringende Anfrage nach Ersatzgerät und Datenrettung der SSD.;Hardware;Notebook;HardwareFailure;low;;;FALSCH;;;Manuelle Prüfung der SSD durch Hardware-Spezialisten; Bestellung eines Ersatzgeräts über das Standard-Procurement-System. ;
TC-N-32;Verdacht auf Social Engineering: Phishing-Anruf gemeldet;Ein Mitarbeiter meldet einen verdächtigen Anruf. Jemand gab sich als 'Global IT Security' aus und forderte einen MFA-Code an, um angeblich ein 'Sicherheitsprofil' zu synchronisieren.;Security;Identity;SecurityIssue;low;;;FALSCH;;;Sofortige Meldung an das Security Operations Center (SOC); Dokumentation der Anrufernummer und Sensibilisierung des Teams. ;
TC-N-33;Font-Rendering-Fehler unter macOS Sequoia in Web-App;Die offizielle Unternehmensschriftart wird in einer internen Web-Anwendung unter dem neuen macOS Sequoia nur als Sonderzeichen dargestellt, während sie unter Windows korrekt erscheint.;Software;Web App;SoftwareIssue;low;;;FALSCH;;;Temporärer Wechsel auf eine Standard-Schriftart im Web-CSS; Untersuchung der Font-Kompatibilität mit dem neuen OS-Release. ;
TC-N-34;IoT-Inkompatibilität: Smarte Kaffeemaschine im Office-WLAN;Der Versuch, eine neue smarte Kaffeemaschine für Wartungszwecke mit dem 'IoT-Restricted' VLAN zu verbinden, schlägt fehl, da das Gerät hardwareseitig kein WPA3-Enterprise unterstützt.;Network;IoT;ConnectivityIssue;low;;;FALSCH;;;Einsatz eines dedizierten IoT-Gateways mit Legacy-Verschlüsselungssupport oder Verzicht auf die WLAN-Anbindung. ;;
TC-N-35;Synchronisationsfehler bei Meta Quest VR-Headsets;Die VR-Headsets für das Team-Training lassen sich nicht mit dem internen 'Spatial Data' Server synchronisieren;Hardware;VR-Headset;ConnectivityIssue;mid;;;FALSCH;;;false;Untersuchung der Firewall-Logs für die VR-Schnittstelle; ggf. Freigabe der proprietären Ports nach Security-Audit. 
TC-N-36;Remote-Wipe Anfrage nach Gerätediebstahl aus PKW;Ein Mitarbeiter meldet den Diebstahl seines Dienstgeräts aus einem verschlossenen Fahrzeug. Er bittet um einen sofortigen Remote-Wipe, der jedoch im MDM für dieses Modell nicht konfiguriert ist.;Security;MDM;ComplianceRequest;mid;;;FALSCH;;;Manuelle Sperrung aller Benutzerzugänge (AD, VPN, Cloud); Einleitung der Diebstahlmeldung bei der Polizei und Versicherung. ;
TC-N-37;Datenextraktion von obsoleten 3,5-Zoll-Disketten;Ein Abteilungsleiter hat alte Disketten mit 'Master Keys' aus den 90ern gefunden. Es existiert keine Hardware mehr im Unternehmen, um diese Medien auszulesen.;Hardware;Legacy Media;DataRecovery;low;;;FALSCH;;;Beauftragung eines externen Forensik-Dienstleisters zur Datenextraktion von Legacy-Medien. ;;
TC-N-38;Dringender 'Legal Hold' für Benutzer-Account;Die Rechtsabteilung fordert die sofortige Sperrung aller Zugriffe und die unveränderte Sicherung aller Daten für einen spezifischen Mitarbeiter aufgrund einer gerichtlichen Anordnung.;Access;User Management;LegalHold;low;;;FALSCH;;;Manuelle Sperre des AD-Accounts; Export der Mailbox-Daten und Cloud-Drive-Inhalte in einen gesicherten Offline-Container. ;
TC-N-39;Herzschrittmacher-Interferenz mit biometrischen Scannern;Ein Mitarbeiter berichtet, dass der neue Fingerabdruck-Scanner im Hochsicherheitsbereich Fehlfunktionen an seinem medizinischen Implantat (Herzschrittmacher) auslöst.;Hardware;Security Hardware;SafetyIssue;high;;;FALSCH;;;Sofortige Deaktivierung des Scanners für diesen Bereich; Prüfung alternativer Zugangsmethoden (RFID/Badge) für betroffene Personen. ;
TC-N-40;Atmosphärische Störungen bei Starlink-VPN-Verbindung;Ein Forscher auf einem Schiff meldet VPN-Latenzen von über 10.000ms. Ursache sind ionosphärische Störungen, die die Satellitenverbindung (Starlink) massiv beeinträchtigen.;Network;VPN;ConnectivityIssue;mid;;;FALSCH;;;Nutzung von lokaler Datenpufferung; Umschalten auf alternative Kurzwellen-Datenübertragung für kritische Telemetrie.;
